Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PPP,+/-,PIM,EV Goals,PP Goals,SH Goals,GWG,EV Assists,PP Assists,SH Assists,S,S%,ATOI,BLK,HIT,FOW,FOL,FO%
396,Dillon Dube,21,CGY,C,45,6,10,16,2,0,6,5,1,0,2,9,1,0,60,10,12:41,13,59,0,2,0
397,Justin Faulk,27,STL,D,69,5,11,16,3,-3,32,4,1,0,1,8,2,1,147,3.4,20:34,76,82,0,0,
398,Garnet Hathaway,28,WSH,RW,66,9,7,16,0,6,79,9,0,0,1,6,0,1,80,11.3,10:47,46,189,9,20,31
399,Darren Helm,33,DET,C,68,9,7,16,0,-6,37,8,0,1,0,6,0,1,102,8.8,13:44,26,88,15,13,53.6
400,Ben Hutton,26,LAK,D,65,4,12,16,0,5,14,4,0,0,1,12,0,0,114,3.5,18:16,76,51,0,0,
401,Erik Johnson,31,COL,D,59,3,13,16,0,9,20,3,0,0,1,13,0,0,99,3,21:03,115,97,0,0,
402,David Kampf,25,CHI,C,70,8,8,16,0,-11,8,7,0,1,2,8,0,0,90,8.9,13:40,26,52,313,285,52.3
403,Alec Martinez,32,VEG,D,51,3,13,16,4,-4,23,3,0,0,0,9,4,0,75,4,21:30,117,43,0,0,
404,Philippe Myers,23,PHI,D,50,4,12,16,0,17,30,4,0,0,0,12,0,0,78,5.1,17:06,44,80,0,0,
405,Tucker Poolman,26,WPG,D,57,4,12,16,0,-1,24,3,0,1,1,12,0,0,64,6.3,17:27,59,58,0,0,
406,Mike Reilly,26,OTT,D,44,1,15,16,9,-6,24,0,1,0,1,6,8,1,85,1.2,18:01,46,39,0,0,
407,Colton Sceviour,30,FLA,C,69,6,10,16,0,2,6,6,0,0,0,10,0,0,114,5.3,13:15,72,91,65,82,44.2
408,Nicolas Aube-Kubel,23,PHI,RW,36,7,8,15,3,1,19,5,2,0,1,7,1,0,48,14.6,11:17,16,82,1,2,33.3
409,Brian Boyle,35,FLA,C,39,6,9,15,1,-5,17,5,1,0,1,9,0,0,56,10.7,12:23,34,65,197,179,52.4
410,Drake Caggiula,25,CHI,LW,40,9,6,15,1,-3,32,8,1,0,0,5,0,1,56,16.1,11:49,16,81,4,10,28.6
411,Ryan Carpenter,29,CHI,C,69,3,12,15,0,-6,28,2,0,1,0,10,0,2,80,3.8,14:04,48,117,263,347,43.1
412,Michael Del Zotto,29,ANA,D,49,2,13,15,1,5,14,2,0,0,0,12,1,0,57,3.5,18:43,55,101,0,0,
413,Nic Dowd,29,WSH,C,56,7,8,15,0,11,28,4,0,3,1,8,0,0,52,13.5,10:50,26,117,274,277,49.7
414,Jonathan Drouin,24,MTL,LW,27,7,8,15,4,-6,14,6,1,0,1,5,3,0,51,13.7,15:42,5,25,4,8,33.3
415,Cody Eakin,28,WPG,C,49,5,10,15,1,-3,16,5,0,0,1,9,1,0,61,8.2,14:35,16,49,311,330,48.5
416,Pierre Engvall,23,TOR,LW,48,8,7,15,0,4,6,7,0,1,3,6,0,1,72,11.1,11:56,10,29,41,64,39
417,Radko Gudas,29,WSH,D,63,2,13,15,0,15,40,2,0,0,1,13,0,0,90,2.2,16:44,75,164,0,0,
418,Henri Jokiharju,20,BUF,D,69,4,11,15,2,-6,32,3,1,0,0,10,1,0,78,5.1,17:13,63,74,0,0,
419,Tomas Nosek,27,VEG,C,67,8,7,15,0,-2,20,7,0,1,1,7,0,0,93,8.6,11:36,38,91,217,216,50.1
420,Mathieu Perreault,32,WPG,C,49,7,8,15,2,-9,10,5,2,0,0,8,0,0,71,9.9,13:06,19,69,13,6,68.4
421,Ryan Reaves,33,VEG,RW,71,8,7,15,0,-5,47,8,0,0,1,7,0,0,61,13.1,10:09,24,316,24,28,46.2
422,Riley Sheahan,28,EDM,C,66,8,7,15,0,-13,6,7,0,1,1,6,0,1,70,11.4,12:48,33,26,409,425,49
423,Colton Sissons,26,NSH,C,57,9,6,15,0,-2,20,8,0,1,2,6,0,0,52,17.3,14:20,41,84,283,269,51.3
424,Troy Terry,22,ANA,C,47,4,11,15,2,-5,6,4,0,0,0,9,2,0,73,5.5,14:31,9,3,3,5,37.5
425,Nate Thompson,35,PHI,C,70,4,11,15,0,-1,30,4,0,0,1,10,0,1,67,6,12:47,50,118,433,354,55
